ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
MMI,Marcus & Millichap Inc,20110831,UPDATE 1-Sony joins crowded tablet market with 2 devices , * Single-screen S tablet costs $499 and $599  same as iPad,normal
MMI,Marcus & Millichap Inc,20110831,RIM's head of developer relations resigns , * Developers prefer writing for Apple  Android platforms,normal
MMI,Marcus & Millichap Inc,20110831,RIM rises on new BlackBerrys  changing landscape ,TORONTO The launch of a string of well-received BlackBerry smartphones helped Research In Motion stock gain 6 percent on Tuesday and almost 50 percent since hitting a five-year low on August 8.,normal
MMI,Marcus & Millichap Inc,20110831,INSIGHT-Motorola deal offers Google tax  patent benefits , * Acquisition highlights lack of rules for valuing patents,normal
MCD,McDonald&#39;s Corporation,20110831,China liquor maker jacks up prices by 30 pct , BEIJING  Aug 31 Chinese liquor maker Wuliangye  will raise prices for its alcohol by 20-30 percent from Sept 10  the firm said  the latest company to lift retail prices amid stubborn inflation pressures.,topStory
MGM,MGM Resorts International,20110831,UPDATE 3-Galaxy's underlying profit beats f'cast on Macau might , * One-off expenses for new casino opening dent net profit,topStory
MGM,MGM Resorts International,20110831,CORRECTED-UPDATE 2-Galaxy's underlying profit beats expectations  shares up , * One-off expenses for new casino opening dent net profit,normal
MBT,Mobile TeleSystems OJSC,20110831,Citi suggests Russian stocks for 2012 bonanza , MOSCOW  Aug 31 A recent drop in Russian stock prices provides an opportunity to hunt down shares in banking  retail  telecom and energy sectors that now look oversold  Citigroup said in a note on Wednesday.,topStory
MON,Monsanto Company,20110831,U.S. researchers find Roundup chemical in water  air ,KANSAS CITY  Missouri Significant levels of the world's most-used herbicide have been detected in air and water samples from two U.S. farm states  government scientists said on Wednesday  in groundbreaking research on the active ingredient in Monsanto Co's Roundup.,topStory
MON,Monsanto Company,20110831,US researchers find Roundup chemical in water  air , KANSAS CITY  Mo.  Aug 31 Significant levels of the world's most-used herbicide have been detected in air and water samples from two U.S. farm states  government scientists said on Wednesday  in groundbreaking research on the active ingredient in Monsanto Co's  Roundup.,normal
MCO,Moody&#39;s Corporation,20110831,Salesman "knew full well" he passed inside tips: Attorney ,NEW YORK A former Silicon Valley sales manager put company insiders together with hedge fund clients  knowing that corporate secrets would pass between them  federal prosecutors said at the start of his insider-trading trial.,topStory
MCO,Moody&#39;s Corporation,20110831,Salesman "knew full well" he passed inside tips: Attorney ,NEW YORK A former Silicon Valley sales manager put company insiders together with hedge fund clients  knowing that corporate secrets would pass between them  federal prosecutors said at the start of his insider-trading trial.,normal
MS,Morgan Stanley,20110831,Bankers may lose big if AT&T deal collapses ,LONDON/NEW YORK U.S. antitrust regulators may have dealt a body blow to an already fragile mergers and acquisitions market with their decision to block AT&T Inc's $39 billion deal to buy T-Mobile USA.,topStory
MS,Morgan Stanley,20110831,UPDATE 1-Bankers may lose big if AT&T deal collapses , * Advisers stand to lose $150 mln in fees on T-Mobile deal,normal
MS,Morgan Stanley,20110831,U.S. should publicize energy trader positions: group ,WASHINGTON The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,normal
MS,Morgan Stanley,20110831,UPDATE 1-US should publicize energy trader positions -group ,  WASHINGTON  Aug 31 The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,normal
MS,Morgan Stanley,20110831,Morgan Stanley hires Merrill adviser team , * Joined MSSB's Blue Ridge Branch in Raleigh on Wednesday,normal
MS,Morgan Stanley,20110831,US should publicize energy trader positions -group ,  WASHINGTON  Aug 31 The U.S. futures regulator should be required to make public the size and nature of energy trader positions each week  a consumer advocacy group said on Wednesday  the latest call to change the way market-sensitive data is handled.,normal
MS,Morgan Stanley,20110831,Exclusive: Bank of America kept AIG legal threat under wraps ,NEW YORK Top Bank of America Corp lawyers knew as early as January that American International Group Inc was prepared to sue the bank for more than $10 billion  seven months before the lawsuit was filed  according to sources familiar with the matter.,normal
MS,Morgan Stanley,20110831,Foreign banks seek to advise VietinBank's offshore bond , HANOI  Aug 31 Ten foreign bidders have submitted bids to become advisers for VietinBank   Vietnam's largest partly private lender by assets  as it seeks to raise up to $1 billion via international bonds  an official at the Vietnamese bank said on Wednesday.,normal
NM,Navios Maritime Holdings Inc,20110831,UPDATE 1-DryShips says COSCO resumes lease payments , * Says COSCO has resumed higher payments on 3 disputed vessels,topStory
NMM,Navios Maritime Partners LP,20110831,UPDATE 1-DryShips says COSCO resumes lease payments , * Says COSCO has resumed higher payments on 3 disputed vessels,topStory
NEM,Newmont Mining Corporation,20110831,Insight: Arctic has great riches  but greater challenges ,IQALUIT  Nunavut/BAKER LAKE  Nunavut At the rim of the Arctic Circle in Canada  gold mining firm Agnico-Eagle is learning how tough it is to operate in a remote region with temptingly large  but frustratingly inaccessible  reserves of oil  gas and minerals.,topStory
NEM,Newmont Mining Corporation,20110831,Arctic has great riches  but greater challenges ,IQALUIT  Nunavut/BAKER LAKE  Nunavut At the rim of the Arctic Circle in Canada  gold mining firm Agnico-Eagle  is learning how tough it is to operate in a remote region with temptingly large  but frustratingly inaccessible  reserves of oil  gas and minerals.,normal
NGL,NGL ENERGY PARTNERS LP,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,topStory
NGL,NGL ENERGY PARTNERS LP,20110831,UPDATE 1-NGL Energy to buy SemGroup unit for about $282 mln , Aug 31 NGL Energy Partners LP will buy SemGroup Corp's SemStream LP unit for about $282 million in cash and stock  plus a 7.5 percent interest in the general partner of NGL Energy  the companies said.,normal
NMR,Nomura Holdings Inc ADR,20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
OXM,Oxford Industries Inc,20110831,UPDATE 1-Oxford Industries Q2 profit falls; shares down , * Sees Q3 adj EPS of $0.10-$0.15 vs est $0.15   (Follows alerts),topStory
OXM,Oxford Industries Inc,20110831,CORRECTED-BRIEF-Oxford Industries reports Q2 results , (Corrects full-year earnings and revenue estimates in last bullet),normal
PCG,Pacific Gas & Electric Co,20110831,UPDATE 1-US blames utility  regulators for pipeline blast , WASHINGTON  Aug 30 Investigators on Tuesday blamed a utility's lax approach to pipeline safety and weak government oversight for a California natural gas explosion that destroyed a neighborhood and killed eight people nearly a year ago.,topStory
BTU,Peabody Energy Corporation,20110831,PRESS DIGEST - New York Times business news - Aug 31 , Aug 31 The following were the top stories in The New York Times business pages on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
PSO,Pearson Plc,20110831,Financial Times pulls its apps from Apple store ,LONDON The Financial Times has pulled its iPad and iPhone apps from Apple's App Store after losing a battle to keep control of customer data obtained through subscriptions.,topStory
PSO,Pearson Plc,20110831,Financial Times pulls its apps from Apple store , LONDON  Aug 31 The Financial Times has pulled its iPad and iPhone apps from Apple's App Store after losing a battle to keep control of customer data obtained through subscriptions.,normal
PTR,PetroChina Company Limited,20110831,Asia Distillates-Gas oil cracks up for a second session , SINGAPORE  Aug 31 Asia's gas oil market strengthened on Wednesday  with cracks rising for a second session on signs of easing supplies in the region.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20110831,Brazil sees Petrobras investing $49 bln in 2012 , BRASILIA  Aug 31 Brazil sees state-run oil company Petrobras  investing 77.9 billion reais ($49 billion) next year  Planning Minister Miriam Belchior said in a presentation on the government's proposed 2012 budget.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20110831,UPDATE 1-DryShips says COSCO resumes lease payments , * Says COSCO has resumed higher payments on 3 disputed vessels,normal
PBR,Petroleo Brasileiro SA- Petrobras,20110831,BRIEF-Seadrill says drilling in GoM picking up slowly , OSLO  Aug 31 The head of Oslo-listed drilling company Seadrill   Alf Thorkildsen  told an oil and gas conference in the Norwegian capital:,normal
PBR,Petroleo Brasileiro SA- Petrobras,20110831,Petrobras  Vale in talks over fertilizer assets , * Petrobras could use nitrogen to make ammonia fertilizer,normal
PFE,Pfizer Inc,20110831,Pfizer  Dr. Reddy's settle Lipitor patent battle ,NEW YORK Pfizer Inc  reached a settlement with Dr. Reddy's Laboratories   an Indian drugmaker that has been fighting in court to launch cheaper generic forms of Pfizer's blockbuster cholesterol fighter  the companies said on Wednesday .,topStory
PFE,Pfizer Inc,20110831,UPDATE 1-Pfizer  Dr. Reddy's settle Lipitor patent battle , NEW YORK  Aug 31 Pfizer Inc  reached a settlement with Dr. Reddy's Laboratories   an Indian drugmaker that has been fighting in court to launch cheaper generic forms of Pfizer's blockbuster cholesterol fighter  the companies said on Wednesday .,normal
PFE,Pfizer Inc,20110831,Roche to maintain lead in targeted drugs ,BASEL Roche  expects a new generation of drugs targeted at specific groups of patients to make up half its portfolio in 10 years  a shift that is pushing the boundaries of modern medicine.,normal
PFE,Pfizer Inc,20110831,Data on Astra's Crestor drug vs Lipitor seen soon , * Trial completed  AZ aims for full presentation in Nov,normal
PHI,PLDT Inc,20110831,SE Asia Stocks-Rally in weak month; S'pore jumps 3.3 pct , * Battered region lures buyers; Fed stimulus hopes prevail,topStory
RELX,RELX PLC,20110831,Shareholders call for Reed Elsevier reshuffle - FT , LONDON  Sept 1 Top investors in Reed Elsevier   are urging another boardroom change at the professional publishing and events group  the Financial Times reported on Thursday.,topStory
RIO,Rio Tinto Plc,20110831,Rio Tinto picks ex-BHP CFO for board , MELBOURNE  Sep 1 Global miner Rio Tinto   has snared the former chief financial officer of arch rival BHP Billiton as the latest appointment to the board  it said on Thursday.,topStory
RIO,Rio Tinto Plc,20110831,Guinea transitional council debates draft mining code , CONAKRY  Aug 31 Guinea's draft mining code  in which the government plans to more than double its stake in mining projects  has been sent to the country's transitional law-making body for debate and adoption  a member of the council said on Wednesday.,normal
RIO,Rio Tinto Plc,20110831,UPDATE 1-Rio's Zimbabwe unit gets part approval for equity plan , * Government cannot afford to buy stakes   (Adds background  details),normal
RIO,Rio Tinto Plc,20110831,Rio's Zimbabwe unit gets part approval for equity plan , HARARE Aug 31 Rio Tinto's Murowa diamond mine in Zimbabwe said on Wednesday it had been given "part approval" for its plan to comply with a government demand that foreign mining houses tarnsfer 51 percent of their local equity stakes to black investors in the country.,normal
RDC,Rowan Companies plc,20110831,UPDATE 3-Joy Global sells LeTourneau's drilling unit; shares up , * Shares rise 7 pct to near one-month high   (Adds analysts comments  share movement),topStory
RDC,Rowan Companies plc,20110831,BRIEF-Rowan Companies sees rising EPS , OSLO  Aug 31 The Chief Executive of New-York listed driller Rowan Companies   Matt Ralls  told an oil conference held in the Norwegian capital:,normal
RY,Royal Bank Of Canada,20110831,UPDATE 2-Canadian suit expands Sino-Forest allegations , * Documents detail new allegations against Chinese company,topStory
RY,Royal Bank Of Canada,20110831,FACTBOX-Wealth management earnings at Canadian banks , Aug 31 Canadian banks have made wealth management a major focus in recent years as they compete for the savings and investments of retiring baby boomers in North America and try to tap growing wealth abroad.,normal
RBS,Royal Bank Scotland plc (The),20110831,UK banking reform to stall until 2015 -- FT , LONDON  Sept 1 Britain's biggest banks are set to escape any major immediate restructuring following the Independent Commission on Banking's (ICB) final report on Sept. 12  the Financial Times reported on Thursday.,topStory
RBS,Royal Bank Scotland plc (The),20110831,MOVES-RBS  Jefferies  Standard Chartered  JP Morgan , Aug 31 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
RBS,Royal Bank Scotland plc (The),20110831,UPDATE 3-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report,normal
RBS,Royal Bank Scotland plc (The),20110831,Finland picks banks to lead new benchmark bond ,HELSINKI Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4.3-$7.2 billion).,normal
RBS,Royal Bank Scotland plc (The),20110831,Finland picks banks to lead new benchmark bond , HELSINKI  Aug 31  Finland state treasury said on Wednesday it has picked five banks to lead a new five-year euro benchmark bond  which is expected to raise around 3-5 billion euros ($4 3-$7 2 billion).,normal
RBS,Royal Bank Scotland plc (The),20110831,UPDATE 2-UK's Cable attacks banks for trying to slow reform , * Barclays expects "pragmatic" proposals from ICB report   (Adds comments from Barclays and sector analyst),normal
RBS,Royal Bank Scotland plc (The),20110831,Banks must not jeopardise UK economy - Cameron , LONDON  Aug 31 Banks must not take risks that could jeopardise the British economy and need to do more to support business  Prime Minister David Cameron said on Wednesday.,normal
RBS,Royal Bank Scotland plc (The),20110831,EURO BONDS-KfW  EnBW  RBS  TCNZ  Sparebank  Credit Agricole , LONDON  Aug 31 (IFR) - Here are details on syndicated bond issues in the European bond market on Wednesday:,normal
RBS,Royal Bank Scotland plc (The),20110831,UPDATE 1-UK's Cable attacks banks for trying to slow reform , * Business Sec Cable attacks banks for dragging their feet,normal
CRM,Salesforcecom Inc,20110831,Salesforce.com's Benioff inspired by Arab Spring ,SAN FRANCISCO Web-based software maker Salesforce.com Inc's Chief Executive Marc Benioff unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,topStory
CRM,Salesforcecom Inc,20110831,Salesforce.com's Benioff inspired by Arab Spring , SAN FRANCISCO  Aug 31 Web-based software maker Salesforce.com  Inc's chief executive  Marc Benioff  unveiled a slew of social networking tools and said he was inspired by recent revolutions in Egypt and Libya.,normal
SLB,Schlumberger NV,20110831,Exxon  Rosneft tie up in Russian Arctic  U.S ,SOCHI  Russia/SAN FRANCISCO Exxon Mobil Corp and Rosneft signed an agreement to extract oil and gas from the Russian Arctic  in the most significant U.S.-Russian corporate deal since President Barack Obama began a push to improve ties. | Video ,topStory
SLB,Schlumberger NV,20110831,UPDATE 7-Exxon  Rosneft tie up in Russian Arctic  U.S. , * Companies to invest $3.2 billion in Arctic  Black Sea,normal
SDRL,Seadrill Limited,20110831,Seadrill CEO remains positive on market , OSLO  Aug 31 Offshore driller Seadrill's  top executive is not worried that market uncertainties will hamper the firm's growth and maintains an optimistic view of the market  but expects some players could find it tougher to finance investments.,topStory
SDRL,Seadrill Limited,20110831,BRIEF-Seadrill says drilling in GoM picking up slowly , OSLO  Aug 31 The head of Oslo-listed drilling company Seadrill   Alf Thorkildsen  told an oil and gas conference in the Norwegian capital:,normal
SEMG,Semgroup Corporation,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,topStory
SEMG,Semgroup Corporation,20110831,UPDATE 1-NGL Energy to buy SemGroup unit for about $282 mln , Aug 31 NGL Energy Partners LP will buy SemGroup Corp's SemStream LP unit for about $282 million in cash and stock  plus a 7.5 percent interest in the general partner of NGL Energy  the companies said.,normal
SIG,Signet Jewelers Limited,20110831,UPDATE 3-Zale sales improve  results pressured by costs , * Shares down nearly 8 percent in morning trade  (Adds CEO and CFO comments  details on Jessica Simpson product line  updates share movement),topStory
SNN,Smith & Nephew SNATS Inc,20110831,Reheated bid talks boosts Smith & Nephew's shares ,LONDON Britain's Smith & Nephew  resumed its familiar role as a potential takeover candidate on Wednesday but analysts said market conditions and regulatory hurdles made an imminent move on the artificial hip and knee maker unlikely.,topStory
SNN,Smith & Nephew SNATS Inc,20110831,Reheated bid talks boosts Smith & Nephew's shares , LONDON  Aug 31 Britain's Smith & Nephew  resumed its familiar role as a potential takeover candidate on Wednesday but analysts said market conditions and regulatory hurdles made an imminent move on the artificial hip and knee maker unlikely.,normal
SNE,Sony Corp Ord,20110831,Nikkei set to open higher on U.S. easing hopes , TOKYO  Sept 1 Japan's Nikkei stock average is set to rise on Thursday  tracking U.S. gains on hopes for more easing by the Federal Reserve  but the upside will be limited by caution ahead of Chinese data in the morning session as well as this week's U.S. data.,topStory
SNE,Sony Corp Ord,20110831,Sony tablets fail to impress on price  hardware ,NEW YORK/BERLIN Sony's hopes of dominating consumer electronics once again with its new tablets suffered a crushing blow on Wednesday from analysts and gadget reviewers whose first impressions were overwhelmingly bad.,normal
SNE,Sony Corp Ord,20110831,UPDATE 4-Sony tablets fail to impress on price  hardware , * Analysts concerned high price will turn off consumers,normal
SNE,Sony Corp Ord,20110831,Deals of the day -- mergers and acquisitions , Aug 31 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 1400 GMT on Wednesday:,normal
SNE,Sony Corp Ord,20110831,Sony's tablets may be a tough sell with price tag ,NEW YORK/BERLIN Sony Corp  took the wraps off its long-awaited tablets on Wednesday with price tags that could hurt the company's chances to compete for the No. 2 spot in the tablet market.,normal
SNE,Sony Corp Ord,20110831,UPDATE 1-Sony joins crowded tablet market with 2 devices , * Single-screen S tablet costs $499 and $599  same as iPad,normal
SNE,Sony Corp Ord,20110831,Japan backs Sony  Toshiba  Hitachi LCD merger ,TOKYO Japan's Sony Corp  Toshiba Corp and Hitachi Ltd will merge their liquid-crystal display operations using $2.6 billion of government-backed funds to fend off growing competition from rivals in South Korea and Taiwan.,normal
SNE,Sony Corp Ord,20110831,UPDATE 3-Japan backs Sony  Toshiba  Hitachi LCD merger , * Fund could come under fire over biggest ever investment,normal
SNE,Sony Corp Ord,20110831,Sony sets date for mobile 3D headset Japan launch ,TOKYO Spider-Man leaps from the top of a building and swings out towards you  cloak fluttering so close you can almost touch it -- at work  on a train  in a car  or wherever you are.,normal
SNE,Sony Corp Ord,20110831,Sony sets date for mobile 3D headset Japan launch ,TOKYO Spider-Man leaps from the top of a building and swings out toward you  cloak fluttering so close you can almost touch it -- at work  on a train  in a car  or wherever you are.,normal
SO,Southern Company (The),20110831,UPDATE 1-Southern's Vogtle 1 reactor in Georgia shut , Aug 31 Southern Co's  1 150-megawatt Unit 1 at the Vogtle nuclear plant in the U.S. state of Georgia automatically shut down on Wednesday morning during maintenance on a valve that controls water flow to a steam generator.,topStory
SOJA,Southern Company (The),20110831,UPDATE 1-Southern's Vogtle 1 reactor in Georgia shut , Aug 31 Southern Co's  1 150-megawatt Unit 1 at the Vogtle nuclear plant in the U.S. state of Georgia automatically shut down on Wednesday morning during maintenance on a valve that controls water flow to a steam generator.,topStory
SOJB,Southern Company (The),20110831,UPDATE 1-Southern's Vogtle 1 reactor in Georgia shut , Aug 31 Southern Co's  1 150-megawatt Unit 1 at the Vogtle nuclear plant in the U.S. state of Georgia automatically shut down on Wednesday morning during maintenance on a valve that controls water flow to a steam generator.,topStory
S,Sprint Corporation,20110831,AT&T T-Mobile left in dark about antitrust lawsuit ,WASHINGTON AT&T CEO Randall Stephenson appeared on cable television early on Wednesday to tout his $39 billion deal to buy T-Mobile USA and how it could bring back 5 000 jobs to the United States from overseas once done.,topStory
S,Sprint Corporation,20110831,AT&T T-Mobile left in dark about antitrust lawsuit , WASHINGTON  Aug 31 AT&T CEO Randall Stephenson appeared on cable television early on Wednesday to tout his $39 billion deal to buy T-Mobile USA and how it could bring back 5 000 jobs to the United States from overseas once done.,normal
S,Sprint Corporation,20110831,U.S. moves to block AT&T  T-Mobile deal ,WASHINGTON/NEW YORK The Obama administration sued to block AT&T Inc's $39 billion acquisition of wireless rival T-Mobile on concerns it would harm competition  launching its biggest challenge yet to a takeover and dealing the carrier a potentially costly blow. | Video ,normal
S,Sprint Corporation,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
S,Sprint Corporation,20110831,AT&T economic model failed to sway antitrust chiefs ,WASHINGTON AT&T Inc employed a small army of economists to promote its plan to buy smaller rival T-Mobile but the Justice Department viewed the deal as snuffing out a plucky competitor to the detriment of consumers.,normal
S,Sprint Corporation,20110831,AT&T economic model failed to sway antitrust chiefs , * AT&T engaged economists with Washington connections,normal
S,Sprint Corporation,20110831,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The U.S. Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court.,normal
S,Sprint Corporation,20110831,Court battle looms between US and AT&T  T-Mobile , * AT&T  Justice Department will square off in DC court,normal
S,Sprint Corporation,20110831,UPDATE 5-U.S. moves to block AT&T  T-Mobile deal , * Acquisition would drive up prices  hurt competition -DOJ,normal
S,Sprint Corporation,20110831,T-Mobile's US headache returns with AT&T deal blow , LONDON/BERLIN  Aug 31 Deutsche Telekom's  hopes of ending its chequered U.S. adventure with a speedy $39 billion sale to AT&T  were dashed on Wednesday when the U.S. government sued to block the deal. [ID:nN1E77U0QO],normal
STT,State Street Corporation,20110831,BNY Mellon CEO Robert Kelly steps down ,BANGALORE Bank of New York Mellon Corp  said Robert Kelly  who has held the company's top job since 2008  has stepped down as chairman and chief executive officer  following differences in approach to managing the company.,topStory
STT,State Street Corporation,20110831,UPDATE 2-BNY Mellon CEO Robert Kelly steps down , BANGALORE  Aug 31 Bank of New York Mellon Corp  said Robert Kelly  who has held the company's top job since 2008  has stepped down as chairman and chief executive officer  following differences in approach to managing the company.,normal
STO,Statoil ASA,20110831,REFILE-UPDATE 2-Norway looks at pipeline to Barents Sea gas fields , (Adds Statoil CEO  Norway foreign minister  other officials),topStory
STO,Statoil ASA,20110831,UPDATE 1-Norway to study pipeline to Barents Sea gas fields , * Gassco eyes 1 400 km extension of pipeline to Barents Sea,normal
STO,Statoil ASA,20110831,BRIEF-Norway's Gassco studying pipeline to Barents , OSLO  Aug 31 (Reuters) -- Norwegian pipeline operator Gassco says:,normal
STO,Statoil ASA,20110831,Lundin says well confirms extension of Avaldsnes , * Likely to drill third appraisal well on Avaldsnes in Q4,normal
STO,Statoil ASA,20110831,Polish PGNiG may face Skarv gasfield delay until 2012 , WARSAW  Aug 31 Polish gas monopoly PGNiG  could face further delays in development of the Skarv oil and gas field until 2012 depending on weather conditions in the last quarter of this year  PGNiG officials said on a conference call with analysts.,normal
SYK,Stryker Corporation,20110831,UPDATE 1-Stryker to acquire Concentric Medical for $135 mln ,   * Deal for privately held maker of neurovascular devices,topStory
SYK,Stryker Corporation,20110831,Reheated bid talks boosts Smith & Nephew's shares ,LONDON Britain's Smith & Nephew  resumed its familiar role as a potential takeover candidate on Wednesday but analysts said market conditions and regulatory hurdles made an imminent move on the artificial hip and knee maker unlikely.,normal
SYK,Stryker Corporation,20110831,Reheated bid talks boosts Smith & Nephew's shares , LONDON  Aug 31 Britain's Smith & Nephew  resumed its familiar role as a potential takeover candidate on Wednesday but analysts said market conditions and regulatory hurdles made an imminent move on the artificial hip and knee maker unlikely.,normal
SU,Suncor Energy  Inc,20110831,CORRECTED - CANADA STOCKS-TSX rallies to 2-wk high on commodities , (Corrects Tuesday report to show market rallied for third straight day  not fourth),topStory
SUN,Sunoco LP,20110831,Sunoco restarting Philadelphia CDU -sources , HOUSTON  Aug 31 Sunoco Inc  was restarting the crude distillation unit on Wednesday in the Girard Point section of its 335 000 barrel per day (bpd) Philadelphia refinery  according to sources familiar with refinery operations.,topStory
SUN,Sunoco LP,20110831,Union faults Sunoco on Irene preparations , HOUSTON  Aug 31 The United Steelworkers union said on Wednesday Sunoco Inc  gambled with the safety of refinery workers and its 335 000 barrel per day (bpd) Philadelphia refinery by operating through Hurricane Irene without back-up equipment.,normal
SUN,Sunoco LP,20110831,Sunoco shuts Philadelphia cracker due to Irene-source , NEW YORK  Aug 31 Sunoco  shut a catalytic cracker at the Girard Point section of its 335 000 barrels-per-day refinery in Philadelphia  Pennsylvania Tuesday night  days after Hurricane Irene swept through the region  a source familiar with refinery operations said.,normal
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20110831,UPDATE 3-LTX-Credence warns of surprise loss  shares fall , * Shares down 21 pct   (Adds analyst comment in paragraph 3 4  updates shares),topStory
TGT,Target Corporation,20110831,Americans not scrimping on clothes this fall: study ,BANGALORE Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,topStory
TGT,Target Corporation,20110831,Americans not scrimping on clothes this fall - study , BANGALORE  Aug 31 Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,normal
TEF,Telefonica SA,20110831,Colombian gov't  Telefonica to invest in telecom firm , BOGOTA  Aug 31 Colombia's government and Spanish telecommunications giant Telefonica unveiled a plan on Wednesday to inject capital into their joint venture  Colombia Telecomunicaciones  which could later merge with Telefonica's Movistar unit.,topStory
TER,Teradyne Inc,20110831,UPDATE 3-LTX-Credence warns of surprise loss  shares fall , * Shares down 21 pct   (Adds analyst comment in paragraph 3 4  updates shares),topStory
BX,The Blackstone Group LP,20110831,Affinity in talks to buy Aussie meats firm: source ,HONG KONG Private equity firm Affinity Equity Partners is in exclusive talks to buy a majority stake in Australian meat products firm Primo Smallgoods  a deal that could value the company as high as $1 billion  a source with direct knowledge of the matter told Reuters on Wednesday.,topStory
BX,The Blackstone Group LP,20110831,Affinity in talks to buy Aussie meats firm-source , HONG KONG  Aug 31 Private equity firm Affinity Equity Partners is in exclusive talks to buy a majority stake in Australian meat products firm Primo Smallgoods  a deal that could value the company as high as $1 billion  a source with direct knowledge of the matter told Reuters on Wednesday.,normal
TRV,The Travelers Companies Inc,20110831,Insurers escape Irene's wrath  economy does not ,NEW YORK Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,topStory
TRV,The Travelers Companies Inc,20110831,INSIGHT-Insurers escape Irene's wrath  economy does not , NEW YORK  Aug 31 Hurricane Irene may heap billions of dollars of extra costs on the already fragile U.S. economy  but insurance companies are likely to emerge relatively unscathed.,normal
TRV,The Travelers Companies Inc,20110831,Special report: Irene wallops flood insurance program ,NEW YORK The only thing worse than getting flooded out of your home once is getting flooded out of it twice. Or  for that matter  over and over again.,normal
TRI,Thomson Reuters Corp,20110831,Bloomberg LP must defend Swatch analyst call case ,NEW YORK Bloomberg LP lost a bid to dismiss a lawsuit by Swatch Group AG that accused the news service of secretly recording an earnings conference call with securities analysts and giving a transcript to clients.,topStory
TRI,Thomson Reuters Corp,20110831,UPDATE 1-Bloomberg LP must defend Swatch analyst call case , * Bloomberg accused of improperly recording earnings call,normal
TIF,Tiffany & Co,20110831,UPDATE 3-Zale sales improve  results pressured by costs , * Shares down nearly 8 percent in morning trade  (Adds CEO and CFO comments  details on Jessica Simpson product line  updates share movement),topStory
TKR,Timken Company (The),20110831,Schaeffler sees higher year sales as H1 EBIT jumps , * No timetable for possible merger with Continental AG,topStory
TJX,TJX Companies Inc (The),20110831,Americans not scrimping on clothes this fall: study ,BANGALORE Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,topStory
TJX,TJX Companies Inc (The),20110831,Americans not scrimping on clothes this fall - study , BANGALORE  Aug 31 Shoppers may not be feeling too good about the economy  but that is not stopping them from adding clothes and shoes to their wardrobes  a recent study shows.,normal
TD,Toronto Dominion Bank (The),20110831,CANADA STOCKS-TSX trims August losses with bank-driven rally , TORONTO  Aug 31 Toronto's main stock index rose for a fourth straight day on Wednesday  trimming August's sharp losses  as strong results from one of Canada's big banks helped lift the heavyweight financial sector.,topStory
TD,Toronto Dominion Bank (The),20110831,REFILE-CANADA STOCKS-TSX hits near one-month high as banks rally , (Refiles to remove the word CORRECTED from the headine. The report is not corrected),normal
TD,Toronto Dominion Bank (The),20110831,UPDATE 2-Canadian suit expands Sino-Forest allegations , * Documents detail new allegations against Chinese company,normal
